"","From","To","Value"
"108502","New Zealand","United Kingdom",12000
"108536","New Zealand","United States",1037
"108568","New Zealand","Estonia",2
"108582","New Zealand","Slovenia",3
"111439","Norway","Australia",75
"111472","Norway","Austria",158
"111503","Norway","Belgium",156
"111534","Norway","Canada",75
"111551","Norway","Czech Republic",18
"111584","Norway","Denmark",1429
"111621","Norway","Finland",82
"111651","Norway","France",17
"111670","Norway","Germany",1031
"111708","Norway","Hungary",166
"111745","Norway","Iceland",38
"111782","Norway","Italy",63
"111812","Norway","Japan",464
"111845","Norway","Korea",134
"111883","Norway","Luxembourg",27
"111915","Norway","Mexico",10
"111934","Norway","Netherlands",620
"111972","Norway","New Zealand",69
"112010","Norway","Norway",0
"112048","Norway","Poland",58
"112065","Norway","Slovak Republic",6
"112092","Norway","Spain",1338
"112128","Norway","Sweden",1826
"112166","Norway","Switzerland",198
"112190","Norway","Turkey",812
"112221","Norway","United States",364
"112253","Norway","Estonia",45
"112267","Norway","Slovenia",2
"119173","Poland","Australia",555
"119206","Poland","Austria",4723
"119244","Poland","Belgium",4296
"119282","Poland","Canada",905
"119301","Poland","Czech Republic",810
"119339","Poland","Denmark",3031
"119376","Poland","Finland",334
"119407","Poland","France",1942
"119426","Poland","Germany",128595
"119464","Poland","Hungary",262
"119501","Poland","Iceland",2752
"119539","Poland","Italy",1852
"119570","Poland","Japan",1270
"119603","Poland","Korea",186
"119641","Poland","Luxembourg",434
"119673","Poland","Mexico",48
"119692","Poland","Netherlands",27252
"119730","Poland","New Zealand",168
"119768","Poland","Norway",4958
"119798","Poland","Poland",0
"119815","Poland","Slovak Republic",151
"119850","Poland","Spain",3505
"119886","Poland","Sweden",3154
"119924","Poland","Switzerland",4692
"119948","Poland","Turkey",418
"119965","Poland","United Kingdom",14000
"119996","Poland","United States",4557
"120028","Poland","Estonia",92
"120048","Poland","Israel",24
"120061","Poland","Slovenia",44
"120097","Portugal","Australia",193
"120130","Portugal","Austria",680
"120168","Portugal","Belgium",3215
"120206","Portugal","Canada",855
"120223","Portugal","Czech Republic",100
"120258","Portugal","Denmark",580
"120295","Portugal","Finland",104
"120321","Portugal","France",7643
"120340","Portugal","Germany",8080
"120378","Portugal","Hungary",100
"120415","Portugal","Iceland",258
"120452","Portugal","Italy",528
"120482","Portugal","Japan",364
"120515","Portugal","Korea",81
"120553","Portugal","Luxembourg",3752
"120585","Portugal","Mexico",91
"120604","Portugal","Netherlands",3684
"120642","Portugal","New Zealand",117
"120680","Portugal","Norway",432
"120718","Portugal","Poland",153
"120735","Portugal","Slovak Republic",28
"120763","Portugal","Spain",8707
"120799","Portugal","Sweden",401
"120837","Portugal","Switzerland",8347
"120861","Portugal","Turkey",110
"120873","Portugal","United Kingdom",17000
"120900","Portugal","United States",1293
"120932","Portugal","Estonia",72
"120946","Portugal","Slovenia",14
"133961","Slovak Republic","Australia",116
"133994","Slovak Republic","Austria",4636
"134025","Slovak Republic","Belgium",629
"134056","Slovak Republic","Canada",390
"134075","Slovak Republic","Czech Republic",5795
"134113","Slovak Republic","Denmark",485
"134150","Slovak Republic","Finland",87
"134181","Slovak Republic","France",279
"134200","Slovak Republic","Germany",12046
"134238","Slovak Republic","Hungary",1520
"134275","Slovak Republic","Iceland",138
"134312","Slovak Republic","Italy",332
"134342","Slovak Republic","Japan",265
"134375","Slovak Republic","Korea",24
"134413","Slovak Republic","Luxembourg",61
"134444","Slovak Republic","Mexico",22
"134463","Slovak Republic","Netherlands",1671
"134501","Slovak Republic","New Zealand",56
"134539","Slovak Republic","Norway",229
"134577","Slovak Republic","Poland",100
"134596","Slovak Republic","Spain",0
"134632","Slovak Republic","Sweden",204
"134669","Slovak Republic","Switzerland",2143
"134711","Slovak Republic","United States",422
"134740","Slovak Republic","Estonia",39
"134754","Slovak Republic","Slovenia",55
"134780","Slovenia","Australia",52
"134813","Slovenia","Austria",2213
"134844","Slovenia","Belgium",135
"134872","Slovenia","Canada",50
"134889","Slovenia","Czech Republic",41
"134924","Slovenia","Denmark",43
"134961","Slovenia","Finland",16
"134992","Slovenia","France",51
"135011","Slovenia","Germany",2401
"135049","Slovenia","Hungary",49
"135085","Slovenia","Iceland",37
"135122","Slovenia","Italy",217
"135152","Slovenia","Japan",94
"135185","Slovenia","Korea",15
"135223","Slovenia","Luxembourg",39
"135255","Slovenia","Mexico",4
"135267","Slovenia","Netherlands",347
"135305","Slovenia","New Zealand",79
"135343","Slovenia","Norway",38
"135381","Slovenia","Poland",20
"135398","Slovenia","Slovak Republic",10
"135426","Slovenia","Spain",0
"135462","Slovenia","Sweden",68
"135500","Slovenia","Switzerland",757
"135543","Slovenia","United States",114
"135575","Slovenia","Estonia",10
"137916","Spain","Australia",530
"137935","Spain","Austria",1610
"137954","Spain","Belgium",4748
"137973","Spain","Canada",660
"137990","Spain","Czech Republic",163
"138009","Spain","Denmark",1120
"138028","Spain","Finland",290
"138035","Spain","France",10466
"138054","Spain","Germany",18698
"138073","Spain","Hungary",323
"138092","Spain","Iceland",291
"138110","Spain","Italy",2114
"138124","Spain","Japan",2429
"138143","Spain","Korea",353
"138162","Spain","Luxembourg",841
"138175","Spain","Mexico",1331
"138194","Spain","Netherlands",7598
"138213","Spain","New Zealand",348
"138232","Spain","Norway",1029
"138251","Spain","Poland",354
"138270","Spain","Portugal",3246
"138287","Spain","Slovak Republic",65
"138320","Spain","Sweden",1198
"138358","Spain","Switzerland",5189
"138382","Spain","Turkey",442
"138394","Spain","United Kingdom",18000
"138423","Spain","United States",4325
"138440","Spain","Chile",884
"138456","Spain","Estonia",184
"138476","Spain","Israel",85
"138489","Spain","Slovenia",20
"141541","Sweden","Australia",338
"141560","Sweden","Austria",451
"141579","Sweden","Belgium",346
